polygon_name, polygon_uuid, polygon_type, x, y, organization_id, farm_id
green_1,69402fdd35564e43b2a41e404c155f03,green,-810,-110,20,18
green_1,69402fdd35564e43b2a41e404c155f03,green,-815,-110,20,18
green_1,69402fdd35564e43b2a41e404c155f03,green,-815,-115,20,18
green_1,69402fdd35564e43b2a41e404c155f03,green,-810,-115,20,18
green_2,69402fdd35564e43b2a41e404c155f05,green,-800,-120,20,18
green_2,69402fdd35564e43b2a41e404c155f05,green,-805,-120,20,18
green_2,69402fdd35564e43b2a41e404c155f05,green,-805,-125,20,18
green_2,69402fdd35564e43b2a41e404c155f05,green,-800,-125,20,18
green_3,69402fdd35564e43b2a41e404c155f07,green,-820,-120,20,18
green_3,69402fdd35564e43b2a41e404c155f07,green,-815,-120,20,18
green_3,69402fdd35564e43b2a41e404c155f07,green,-815,-125,20,18
green_3,69402fdd35564e43b2a41e404c155f07,green,-820,-125,20,18
green_4,69402fdd35564e43b2a41e404c155f07,green,-830,-130,20,18
green_4,69402fdd35564e43b2a41e404c155f07,green,-825,-130,20,18
green_4,69402fdd35564e43b2a41e404c155f07,green,-825,-135,20,18
green_4,69402fdd35564e43b2a41e404c155f07,green,-830,-135,20,18
green_5,69402fdd35564e43b2a41e404c155f07,green,-810,-130,20,18
green_5,69402fdd35564e43b2a41e404c155f07,green,-815,-130,20,18
green_5,69402fdd35564e43b2a41e404c155f07,green,-815,-135,20,18
green_5,69402fdd35564e43b2a41e404c155f07,green,-810,-135,20,18
green_6,69402fdd35564e43b2a41e404c155f07,green,-795,-130,20,18
green_6,69402fdd35564e43b2a41e404c155f07,green,-800,-130,20,18
green_6,69402fdd35564e43b2a41e404c155f07,green,-800,-135,20,18
green_6,69402fdd35564e43b2a41e404c155f07,green,-795,-135,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-784.7377975339053,1593.6131590919995,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-814.4673833510244,1585.8498318334423,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-816.0142716208869,1471.1753813959288,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-841.0937808790663,1468.6294973396057,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-887.1575271813506,1470.1631824179938,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-886.6684806648159,1259.157495148078,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-848.2781105010386,1181.5872382163157,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-804.8119302543754,1179.779532481523,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-804.4220706507665,1110.8623450662444,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-805.5232510631456,960.3422326132745,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-803.0572618688284,873.4985818524567,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-802.6636770668155,842.6921189816629,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-800.6818433554761,829.6584077124329,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-793.1480565193895,809.9100375271576,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-792.4659407249466,798.5084474513028,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-799.6364465799559,784.8016698414917,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-799.5886744181491,616.5409532805728,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-801.7632074199818,376.15005990521144,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-788.9288978313062,358.77847313152756,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-779.0563719614254,345.66784963503676,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-760.7197884859352,324.72534256844017,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-765.3893351616846,311.96819515370504,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-766.259110672051,297.9133453647332,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-760.831689428165,287.3176686129492,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-751.169855996732,276.1809618127599,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-699.2031856221035,218.06130725090463,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-680.7469338793411,206.38329339901833,20,18
ff_geofence,69402fdd35564e43b2a41e404c155f02,white,-669.8900085065839,201.30093637359545,20,18
